Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.09,-.16,-.10,-.21,-.18,-.10,-.15,-.24,-.22,-.18,-.17,***,***,-.12,-.16,-.20
1881,-.20,-.14,.03,.05,.06,-.18,.00,-.03,-.15,-.22,-.18,-.07,-.08,-.09,-.17,.05,-.07,-.18
1882,.17,.14,.05,-.16,-.14,-.22,-.16,-.07,-.14,-.24,-.16,-.36,-.11,-.08,.08,-.09,-.15,-.18
1883,-.29,-.36,-.12,-.18,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11,-.18,-.20,-.34,-.16,-.09,-.19
1884,-.13,-.08,-.37,-.40,-.34,-.35,-.33,-.27,-.27,-.25,-.33,-.31,-.29,-.27,-.11,-.37,-.32,-.29
1885,-.58,-.33,-.26,-.42,-.45,-.43,-.33,-.30,-.28,-.23,-.23,-.09,-.33,-.35,-.41,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.27,-.24,-.34,-.17,-.30,-.24,-.27,-.27,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.34,-.25,-.35,-.26,-.33,-.36,-.35,-.51,-.33,-.28,-.28
1888,-.33,-.35,-.41,-.20,-.22,-.17,-.10,-.15,-.12,.02,.04,-.04,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.18,.06,.10,-.01,-.10,-.07,-.20,-.24,-.26,-.33,-.29,-.10,-.08,.02,.05,-.12,-.28
1890,-.42,-.45,-.40,-.30,-.40,-.25,-.28,-.39,-.37,-.25,-.44,-.31,-.35,-.35,-.39,-.37,-.30,-.35
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.22,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.23
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.41,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.80,-.56,-.22,-.27,-.34,-.25,-.14,-.25,-.23,-.19,-.19,-.32,-.31,-.32,-.58,-.28,-.22,-.20
1894,-.52,-.28,-.22,-.44,-.30,-.40,-.24,-.23,-.28,-.22,-.25,-.21,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.21,-.16,-.16,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.27,-.18,-.13
